"location","hits","keyword","geo","gprop"
"Arunachal Pradesh",NA,"youth empowerment","IN","web"
"Manipur",NA,"youth empowerment","IN","web"
"Assam",NA,"youth empowerment","IN","web"
"Andaman and Nicobar Islands",NA,"youth empowerment","IN","web"
"Uttarakhand",NA,"youth empowerment","IN","web"
"Meghalaya",NA,"youth empowerment","IN","web"
"Chhattisgarh",NA,"youth empowerment","IN","web"
"Andhra Pradesh",NA,"youth empowerment","IN","web"
"Telangana",NA,"youth empowerment","IN","web"
"Haryana",NA,"youth empowerment","IN","web"
"Puducherry",NA,"youth empowerment","IN","web"
"Jammu and Kashmir",NA,"youth empowerment","IN","web"
"Goa",NA,"youth empowerment","IN","web"
"Kerala",NA,"youth empowerment","IN","web"
"Gujarat",NA,"youth empowerment","IN","web"
"Jharkhand",NA,"youth empowerment","IN","web"
"Punjab",NA,"youth empowerment","IN","web"
"Uttar Pradesh",NA,"youth empowerment","IN","web"
"Himachal Pradesh",NA,"youth empowerment","IN","web"
"Odisha",NA,"youth empowerment","IN","web"
"Rajasthan",NA,"youth empowerment","IN","web"
"Madhya Pradesh",NA,"youth empowerment","IN","web"
"Chandigarh",NA,"youth empowerment","IN","web"
"West Bengal",NA,"youth empowerment","IN","web"
"Bihar",NA,"youth empowerment","IN","web"
"Daman and Diu",NA,"youth empowerment","IN","web"
"Dadra and Nagar Haveli",NA,"youth empowerment","IN","web"
"Lakshadweep",NA,"youth empowerment","IN","web"
"Tripura",NA,"youth empowerment","IN","web"
