"date","hits","keyword","geo","gprop","category"
2005-04-01,"0","digitalization","IN","web",0
2005-05-01,"0","digitalization","IN","web",0
2005-06-01,"38","digitalization","IN","web",0
2005-07-01,"36","digitalization","IN","web",0
2005-08-01,"0","digitalization","IN","web",0
2005-09-01,"0","digitalization","IN","web",0
2005-10-01,"0","digitalization","IN","web",0
2005-11-01,"0","digitalization","IN","web",0
2005-12-01,"31","digitalization","IN","web",0
2006-01-01,"29","digitalization","IN","web",0
2006-02-01,"0","digitalization","IN","web",0
2006-03-01,"52","digitalization","IN","web",0
2006-04-01,"0","digitalization","IN","web",0
2006-05-01,"0","digitalization","IN","web",0
2006-06-01,"0","digitalization","IN","web",0
2006-07-01,"22","digitalization","IN","web",0
2006-08-01,"21","digitalization","IN","web",0
2006-09-01,"0","digitalization","IN","web",0
2006-10-01,"22","digitalization","IN","web",0
2006-11-01,"20","digitalization","IN","web",0
2006-12-01,"0","digitalization","IN","web",0
2007-01-01,"18","digitalization","IN","web",0
2007-02-01,"0","digitalization","IN","web",0
2007-03-01,"16","digitalization","IN","web",0
2007-04-01,"16","digitalization","IN","web",0
2007-05-01,"13","digitalization","IN","web",0
2007-06-01,"0","digitalization","IN","web",0
2007-07-01,"0","digitalization","IN","web",0
2007-08-01,"0","digitalization","IN","web",0
2007-09-01,"0","digitalization","IN","web",0
2007-10-01,"12","digitalization","IN","web",0
2007-11-01,"24","digitalization","IN","web",0
2007-12-01,"12","digitalization","IN","web",0
2008-01-01,"11","digitalization","IN","web",0
2008-02-01,"22","digitalization","IN","web",0
2008-03-01,"0","digitalization","IN","web",0
2008-04-01,"0","digitalization","IN","web",0
2008-05-01,"0","digitalization","IN","web",0
2008-06-01,"19","digitalization","IN","web",0
2008-07-01,"9","digitalization","IN","web",0
2008-08-01,"0","digitalization","IN","web",0
2008-09-01,"18","digitalization","IN","web",0
2008-10-01,"9","digitalization","IN","web",0
2008-11-01,"18","digitalization","IN","web",0
2008-12-01,"17","digitalization","IN","web",0
2009-01-01,"8","digitalization","IN","web",0
2009-02-01,"17","digitalization","IN","web",0
2009-03-01,"8","digitalization","IN","web",0
2009-04-01,"12","digitalization","IN","web",0
2009-05-01,"0","digitalization","IN","web",0
2009-06-01,"7","digitalization","IN","web",0
2009-07-01,"7","digitalization","IN","web",0
2009-08-01,"14","digitalization","IN","web",0
2009-09-01,"14","digitalization","IN","web",0
2009-10-01,"7","digitalization","IN","web",0
2009-11-01,"7","digitalization","IN","web",0
2009-12-01,"7","digitalization","IN","web",0
2010-01-01,"6","digitalization","IN","web",0
2010-02-01,"7","digitalization","IN","web",0
2010-03-01,"9","digitalization","IN","web",0
